value
20.33333333
20.5
20.33333333
20.33333333
19
20.33333333
20.33333333
20.5
20.33333333
20.33333333
19
20.5
19
20.5
19
20.5
20.33333333
20.5
20.33333333
20.33333333
19
20.33333333
19
20.33333333
19
20.33333333
20.33333333
20.33333333
20.33333333
20.33333333
19
20.33333333
19
20.33333333
19
20.33333333
21.16666667
19
20.33333333
19
20.33333333
19
20.33333333
19
20.33333333
20.33333333
20.33333333
20.33333333
20.33333333
19
21.16666667
21.16666667
21.16666667
21.16666667
21.16666667
21.16666667
19
21.16666667
20.5
20.5
21.16666667
20.5
21.16666667
21.16666667
21.16666667
21.16666667
21.16666667
19
19
19
19
21.16666667
21.16666667
19
19
21.16666667
21.16666667
19
19
19
19
19
19
19
21.16666667
21.16666667
19
19
19
20.5
18.33333333
18.33333333
18.33333333
18.33333333
20.5
20.5
18.33333333
18.33333333
20.5
20.5
18.33333333
18.33333333
18.33333333
18.33333333
20.5
18.33333333
20.33333333
18.33333333
20.33333333
18.33333333
20.33333333
20.5
20.33333333
20.5
18.33333333
18.33333333
18.33333333
20.33333333
21.16666667
17.66666667
21.16666667
17.66666667
21.16666667
17.66666667
21.16666667
18.33333333
21.16666667
20.33333333
21.16666667
20.5
20.33333333
18.33333333
20.33333333
17.66666667
21.16666667
20.33333333
21.16666667
20.33333333
21.16666667
17.66666667
21.16666667
17.66666667
21.16666667
17.66666667
21.16666667
17.66666667
21.16666667
20.33333333
21.16666667
20.5
21.16666667
20.5
20.33333333
17.66666667
21.16666667
20.5
21.16666667
20.33333333
21.16666667
17.66666667
21.16666667
17.66666667
21.16666667
17.66666667
21.16666667
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
20.33333333
20.5
