soc_stock_t_ha
47.4
51.1
34.3
56
46.1
31.3
68.1
40.5
49.3
41.5
53.5
41.4
32.2
43.7
29
40.3
43.6
38.9
51.8
44.2
28.4
44.8
43.2
42.5
50.7
38.4
64.1
49.4
63.6
43.4
40.2
44
57
44.5
63.7
30.5
39.5
32.3
37.1
33.9
34.4
30
38.1
31.4
38.1
38
40.4
43.8
39.4
37.2
30.3
34
36.8
37.6
38.3
42.1
33
35.9
35.3
46.7
48.6
36.3
41.3
41.5
33.6
30
57.5
54.5
55.8
58
37.4
62.1
47.3
39.5
28.8
62.3
48
30
28.3
26.4
59.2
42.7
41.9
29.7
43.4
49.9
36
40
35.5
37.1
42.8
41.7
40.8
32.8
37.6
9.1
40.4
53.3
49.8
41
72.2
41.4
38.1
37.5
36.4
59.1
44.2
50.8
36.7
48.5
42.4
70.7
42
54.4
62
61.5
55.3
55.7
47.2
57.6
44.9
42.1
37.6
30.3
43.2
50
44.2
54.3
38.5
66.9
37.4
61.4
38.4
44.4
31.9
40.6
32.4
44.3
44.8
41.9
37.1
56
42.8
45.8
42.9
43.6
44.5
56.8
44.2
45.1
44.6
52.2
40.1
39.4
34.2
36.4
34.5
37.3
48.1
38.3
43.7
43.9
37.5
43
56.7
31.6
43.7
45
45.9
49.8
48.7
63.1
42.2
59.4
33.5
39.8
41.6
39.4
39.8
40.9
53.7
40.8
49.5
38.3
39.9
39.6
44.7
36.3
48.5
44.9
57.7
49.4
29
45.4
